Marital Status,Application Mode,Application Order,Course Name,Daytime/Evening Attendance,Previous Qualification,Nationality,Mother's Qualification,Father's Qualification,Mother's Occupation,Father's Occupation,Displaced Student,Special Educational Needs,Is Debtor,Tuition Fees Up-to-Date,"Gender (1=Male, 0=Female)",Scholarship Holder,Age at Enrollment,International Student,Credited Units (1st Sem),Enrolled Units (1st Sem),Evaluated Units (1st Sem),Approved Units (1st Sem),Average Grade (1st Sem),Not Evaluated Units (1st Sem),Credited Units (2nd Sem),Enrolled Units (2nd Sem),Evaluated Units (2nd Sem),Approved Units (2nd Sem),Average Grade (2nd Sem),Not Evaluated Units (2nd Sem),Unemployment Rate (%),Inflation Rate (%),GDP per Capita (USD),Student Status,Total_Enrolled_Units,Total_Approved_Units,Grade_Improvement,Failure_Flag
Single,2nd phase—general contingent,2.102099317686916,Animation and Multimedia Design,Daytime,Secondary education,Portuguese,General commerce course,Other—11th Year,Service/Sales/Security,Unskilled Workers,Yes,No,No,Yes,Male,No,-0.4542357282825717,No,0.0,-2.6276837811769838,-2.215381454756622,-1.6814258092589098,-1.9236497599227986,0.0,0.0,-2.6447626252628305,-2.1656640384544152,-1.511364155853715,-1.78640131376842,0.0,-0.2876384574425296,0.12438647318417584,0.7657608350016585,Dropout,4.0,0.0,-0.5250000000000004,1
Single,International student (bachelor),-0.6191763250376455,Tourism,Daytime,Secondary education,Portuguese,Secondary Education,Higher Education Degree,Technicians & Professionals,Technicians & Professionals,Yes,No,No,No,Male,No,-0.6391059087721851,No,0.0,-0.09254627208812184,-0.5817253447705187,0.5195687010955878,0.9353563787964186,0.0,0.0,-0.12298238836154035,-0.5354279135399466,0.546584451562978,0.7915225507637236,0.0,0.8762220667652447,-1.1052215545807416,0.347199421388147,Graduate,12.0,12.0,-0.3333333333333339,0
Single,1st phase—general contingent,2.102099317686916,Communication Design,Daytime,Secondary education,Portuguese,Administration & Commerce course,Basic Edu 1st Cycle,Unskilled Workers,Unskilled Workers,Yes,No,No,No,Male,No,-0.6391059087721851,No,0.0,-0.09254627208812184,-2.215381454756622,-1.6814258092589098,-1.9236497599227986,0.0,0.0,-0.12298238836154035,-2.1656640384544152,-1.511364155853715,-1.78640131376842,0.0,-0.2876384574425296,0.12438647318417584,0.7657608350016585,Dropout,12.0,0.0,-0.5250000000000004,1
Single,2nd phase—general contingent,0.46933393205217905,Journalism and Communication,Daytime,Secondary education,Portuguese,Accounting & Admin course,Basic Edu 1st Cycle,Service/Sales/Security,Technicians & Professionals,Yes,No,No,Yes,Female,No,-0.4542357282825717,No,0.0,-0.09254627208812184,-0.03717330810848436,0.5195687010955878,0.6878233797731099,0.0,0.0,-0.12298238836154035,0.5513961697363661,0.2035930169935292,0.3107318422865635,0.0,-0.8132528877299118,-1.4668709745115993,-1.3755112388527264,Graduate,12.0,11.0,-1.0285714285714285,0
Married,Over 23 years old,-0.6191763250376455,Social Service (evening attendance),Evening,Secondary education,Portuguese,Administration & Commerce course,Basic Edu 2nd Cycle,Unskilled Workers,Unskilled Workers,No,No,No,Yes,Female,No,2.1339467985720155,No,0.0,-0.09254627208812184,0.23510271022253285,0.1527362827031716,0.21338513164510148,0.0,0.0,-0.12298238836154035,-0.5354279135399466,0.546584451562978,0.5384748094599552,0.0,0.8762220667652447,-1.1052215545807416,0.347199421388147,Graduate,12.0,11.0,0.6666666666666661,0
Married,Over 23 years old,-0.6191763250376455,Management (evening attendance),Evening,Basic education 3rd cycle,Portuguese,Administration & Commerce course,Basic Edu 1st Cycle,Unskilled Workers,Skilled Industry Workers,No,No,Yes,Yes,Male,No,2.1339467985720155,No,0.0,-0.7263306493603373,0.50737872855355,0.1527362827031716,0.007107632459010755,0.0,0.0,-0.7534274475868629,2.181632294650835,0.2035930169935292,-0.030882608473524406,0.0,1.7397314879516577,-0.6712422506637118,-0.40621112311617363,Graduate,10.0,10.0,-0.35714285714285765,0
Single,1st phase—general contingent,-0.6191763250376455,Nursing,Daytime,Secondary education,Portuguese,General commerce course,Basic Edu 2nd Cycle,Skilled Industry Workers,Armed Forces,Yes,No,No,Yes,Female,Yes,-0.8239760892617984,No,0.0,0.5412381051840937,0.23510271022253285,0.8864011194880042,0.6321284549928656,0.0,0.0,1.1379077300891045,0.007984128098209756,1.2325673207018757,1.0489986275403087,0.0,1.476924272807967,1.1370048489905784,-1.7896667428492534,Graduate,15.0,15.0,1.045,0
Single,3rd phase—general contingent,2.102099317686916,Tourism,Daytime,Secondary education,Portuguese,Administration & Commerce course,Basic Edu 1st Cycle,Unskilled Workers,Unskilled Workers,Yes,No,No,No,Male,No,-0.08449536730334498,No,0.0,-0.7263306493603373,-0.854001363101536,-1.6814258092589098,-1.9236497599227986,0.0,0.0,-0.7534274475868629,-0.8071339343590247,-1.511364155853715,-1.78640131376842,0.0,1.476924272807967,1.1370048489905784,-1.7896667428492534,Dropout,10.0,0.0,-0.5250000000000004,1
Single,1st phase—general contingent,1.5578441891420036,Social Service,Daytime,Secondary education,Romanian,Secondary Education,Secondary Education,Unskilled Workers,Unskilled Workers,No,No,No,Yes,Female,Yes,-0.26936554779295835,Yes,0.0,-0.09254627208812184,-0.03717330810848436,0.5195687010955878,0.8812085352600698,0.0,0.0,-0.12298238836154035,-0.2637218927208684,0.546584451562978,0.9722709374092727,0.0,1.7397314879516577,-0.6712422506637118,-0.40621112311617363,Graduate,12.0,12.0,0.26785714285714235,0
Single,1st phase—general contingent,-0.6191763250376455,Social Service,Daytime,Secondary education,Portuguese,Secondary Education,Basic Education 3rd Cycle,Administrative Staff,Skilled Industry Workers,Yes,No,Yes,No,Female,No,-0.8239760892617984,No,0.0,-0.09254627208812184,0.23510271022253285,0.1527362827031716,-0.19091876675963637,0.0,0.0,-0.12298238836154035,1.6382202530126786,-0.8253812867148174,0.7282606154377816,0.0,-1.0009723271182625,0.12438647318417584,1.545606837207885,Dropout,12.0,7.0,2.0999999999999996,0
